Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.00418/PM,"PRODUCTOS CARNICOS GLORIA MALLORQUINA, SA",Palma de Mallorca/INCA,"RW, CP, PP",,MP,
10.00859/PM,"SALEWSKI ARTESANOS, CB",Palma de Mallorca/SANTA EULARIA DES RIU,PP,,MP,
10.00861/PM,"M.F. VARVE, SA",Palma de Mallorca/PALMA DE MALLORCA,CP,,,
10.01018/PM,RAMADERS AGRUPATS SAT 4054,Palma de Mallorca/FELANITX,"CS, RW, CP, MM, MP, PP",,MP,
10.01216/IB,"EMBUTIDOS BLANCO, S.L.",Islas Baleares/FELANITX,PP,,MP,
10.01220/PM,"EMBOTITS OBRADOR, S.L.",Palma de Mallorca/FELANITX,"MM, MP, PP",,MP,
10.01235/PM,"EMBUTIDOS AGUILO, S.L.",Palma de Mallorca/SOLLER,PP,,MP,
10.01272/IB,"CARNES Y ALIMENTOS MAS CRESPO, SA",Islas Baleares/COLL DE''N RABASSA (ES),"CS, CP, MM, MP, PP",,MP,
10.01423/PM,EL ZAGAL TRADICION SA,Palma de Mallorca/FELANITX,"RW, PP",,MP,
10.01577/IB,"CARNS I EMBOTITS CAN ROM, SL",Islas Baleares/INCA,"RW, CP, MM, MP, PP",,MP,
10.01593/PM,"EMBUTIDOS MUNAR, S.L.",Palma de Mallorca/PORRERES,PP,,MP,
10.01827/IB,"CARNICAS SUÑER, S.A.",Islas Baleares/MANACOR,"CS, CP, MM, MP, PP",,"BL, MP",
10.01986/PM,"XARCUTERIES MALLORCA, SL",Palma de Mallorca/POBLA (SA),PP,,MP,
10.01994/PM,"POL LLADO, GABRIEL",Palma de Mallorca/CONSELL,PP,,MP,
10.02044/PM,"BENNASAR VICENS, FRANCISCO",Palma de Mallorca/PONT D'INCA,PP,,MP,
10.02108/IB,"EMBOTITS FERRIOL, SL",Islas Baleares/SINEU,PP,,MP,
10.02239/PM,"CA'N BALAGUER, S.A.",Palma de Mallorca/ARTA,PP,,MP,
10.02467/PM,"EMBUTIDOS ABEL, SL",Palma de Mallorca/INDIOTERIA (SA),"MM, MP, PP",,MP,
10.02934/PM,"ESCORXADOR I SERVEIS CARNICS PALMA, SL",Palma de Mallorca/COLL DE''N RABASSA (ES),"SH, CP","P, B, C, O, S",,
10.02945/PM,"MARTIN HAMBURGUESAS, SL",Palma de Mallorca/INDIOTERIA (SA),"MM, MP, PP",,MP,
10.03868/IB,"COMPAÑIA MEDITERRANEA DE FRIO Y ALIMENTACION, SL",Islas Baleares/PALMA,"RW, CP, MM, MP",,MP,
10.04715/PM,"KARL OBERST, SL",Palma de Mallorca/INDIOTERIA (SA),PP,,MP,
10.04761/PM,"EMBOTITS MONTUIRI, S.A.",Palma de Mallorca/MONTUÏRI,PP,,MP,
10.04983/PM,AJUNTAMENT DE CIUTADELLA,Palma de Mallorca/CIUTADELLA DE MENORCA,"SH, CP","R, P, B, C, O, L",,
10.05018/IB,"JOSE FERRA, SAU",Islas Baleares/SANT JORDI DE SES SALINES,"RW, CP, MM, MP",,MP,
10.05070/PM,"MIRALLES JULIA, JUAN",Palma de Mallorca/MONTUÏRI,SH,A,,
10.05196/PM,"ORIOL DEVIS, PERE",Palma de Mallorca/INCA,PP,,ST,
10.05458/PM,"EMBOTITS ES FIGUERAL, S.L.",Palma de Mallorca/SALINES (SES),PP,,MP,
10.05969/PM,RAMADERS AGRUPATS SAT 4054,Palma de Mallorca/FELANITX,"SH, PP","P, fG, B, C, O",ST,
10.06045/PM,"CARNISSERIA CA'N PERE DES CARRERO, SL",Palma de Mallorca/MARIA DE LA SALUT,PP,,MP,
10.06306/PM,"EMBOTITS SA MURADETA, S.C.",Palma de Mallorca/CIUTADELLA DE MENORCA,PP,,MP,
10.06548/PM,"CARNICAS VIPER, S.L.",Palma de Mallorca/MAO,"CP, MM, MP, PP",,MP,
10.06685/PM,COOP VIRGEN DE MONTE TORO,Palma de Mallorca/MAO,SH,"R, P, B, C, O, S",,
10.07012/PM,AJUNTAMENT DE MANACOR,Palma de Mallorca/MANACOR,SH,"P, B, C, O",,
10.07015/PM,"EMBOTITS SA CALDERA, S.L..",Palma de Mallorca/SANT JOAN,"MM, MP, PP",,MP,
10.07016/PM,"CASA CAPELLANA, CB",Palma de Mallorca/INCA,PP,,MP,
10.07108/IB,MARCH RIBAS SL,Islas Baleares/SANT LLORENÇ DE BALAFIA,"RW, CP, MM, MP, PP",,MP,
10.07199/PM,"EMBUTIDOS ARTESANOS DE MALLORCA, S.L.",Palma de Mallorca/BINISSALEM,"RW, PP",,MP,
10.07256/IB,"EMBUTIDOS TORRES BARCELO, SL",Islas Baleares/CIUTADELLA DE MENORCA,PP,,MP,
10.08245/IB,CARNES CAN GUIEM SL,Islas Baleares/PORTO CRISTO,"CP, PP",,MP,
10.08270/PM,MANCOMUNITAT INTERMUNICIPAL SERVEIS PUBLICS INSULARS,Palma de Mallorca/EIVISSA,SH,"P, B, C, O, S",,
10.08284/IB,"ESCORXADOR D'INCA, SL",Islas Baleares/INCA,SH,"R, P, B, C, O, S",,
10.08844/PM,ACEITES RIPOLL S.L.,Palma de Mallorca/CAIMARI,RW,,,
10.08946/IB,"COMERCIAL MALLORQUINA DE CARNES, SLU",Islas Baleares/PALMA,"CS, CP, MM, MP",,,
10.08948/PM,AVICOLA MANACOR SA,Palma de Mallorca/MANACOR,"RW, CP",,,
10.09046/PM,"KARTA MEMOSA, S.A.",Palma de Mallorca/CIUTADELLA DE MENORCA,"CP, MM, MP",,,
10.09483/PM,"INDUSTRIES CARNIQUES LLOMPART, SL",Palma de Mallorca/LLUCMAJOR,PP,,MP,
10.09649/PM,"COMPANATGE, S.L.",Palma de Mallorca/SANTA EULARIA DES RIU,"CP, PP",,MP,
10.10123/IB,"CARNICAS NIELL, CB",Islas Baleares/PALMA DE MALLORCA,"CS, CP",,,
10.10157/PM,CONSELL INSULAR DE FORMENTERA,Palma de Mallorca/SANT FRANCESC DE FORMENTERA,SH,"P, C, O",,
10.10235/PM,"HERMANAS BUADES, SA",Palma de Mallorca/COLL DE''N RABASSA (ES),CP,,,
10.10237/PM,"TANQUES ANGLADA, S.C.",Palma de Mallorca/CIUTADELLA DE MENORCA,PP,,MP,
10.10241/IB,"EMBOTITS RAIMA, S.L.",Islas Baleares/CIUTADELLA DE MENORCA,"CP, MM, MP, PP",,MP,
10.10254/PM,"CA'N MATARINO, SL",Palma de Mallorca/BINIARAIX,"MM, MP, PP",,MP,
10.10369/IB,"BARCELO ROSSELLÓ, JUAN ANTONIO",Islas Baleares/COLL DE''N RABASSA (ES),CS,,,
10.10371/IB,"APLICACIONS TECNIQUES INSULARS, S.A.",Islas Baleares/CONSELL,"CP, PP",,MP,
10.10462/PM,"HIPER MANACOR, SA",Palma de Mallorca/EIVISSA,"CP, PP",,MP,
10.10487/PM,"TORRES TORRES, CATALINA",Palma de Mallorca/SANT JORDI DE SES SALINES,PP,,MP,
10.10494/PM,"IBARRA CARDONA, JOAQUIN",Palma de Mallorca/SANTA EULARIA DES RIU,PP,,MP,
10.10497/PM,"CONILLS MALLORQUINS, SL",Palma de Mallorca/MARRATXI,CS,,,
10.10498/PM,"INDUSTRIA CÁRNICA CAN LAO, SL",Palma de Mallorca/MERCADAL (ES),PP,,MP,
10.10596/IB,"JUAN POCOVI, SA",Islas Baleares/COLL DE''N RABASSA (ES),"CP, MM, MP",,,
10.10598/IB,"MAKRO AUTOSERVICIO MAYORISTA, SA",Islas Baleares/PALMA DE MALLORCA,"CS, CP",,,
10.10601/PM,"HIPER MANACOR, S.A.",Palma de Mallorca/MANACOR,"CP, MM, MP, PP",,MP,
10.11096/PM,"PONS TRUYOL, JUAN BOSCO",Palma de Mallorca/CIUTADELLA DE MENORCA,PP,,MP,
10.11295/PM,"AVES CHICO, SL",Palma de Mallorca/SANT ANTONI DE PORTMANY,"CP, MM, MP",,,
10.11527/IB,SOCIEDAD COOPERATIVA AGROALIMENTARIA DE MALLORCA,Islas Baleares/MARIA DE LA SALUT,PP,,MP,
10.12015/PM,"HERIBERTO Y VITALICO SANCHEZ, CB",Palma de Mallorca/PALMA DE MALLORCA,"CP, MM, MP",,,
10.12123/PM,"ES TAP NOU, SL",Palma de Mallorca/SANT MIQUEL DE BALANSAT,PP,,MP,
10.12168/PM,"DISCAGRAN, SL",Palma de Mallorca/COLL DE''N RABASSA (ES),"CP, MM, MP",,,
10.12367/IB,"TUCARN, SL",Islas Baleares/COLL DE''N RABASSA (ES),"CS, CP, MM, MP, PP",,MP,
10.12604/IB,"SUPERMERCAT TREBALUGER, S.L.",Islas Baleares/CASTELL (ES),"MM, MP, PP",,MP,
10.12701/IB,"CONGELATS JUVIMAR, SL",Islas Baleares/INDIOTERIA (SA),"CP, MM, MP",,,
10.12748/IB,"PRECOCINADOS JUAN CAMPOS, SL",Islas Baleares/CABANETA (SA),PP,,MP,
10.12831/PM,CARNICERIA MALLORQUINA HERMANOS RONDA S.L.,Palma de Mallorca/PALMA DE MALLORCA,PP,,MP,
10.12863/PM,"CARNISSERIA I MENJARS FEBRER, SL",Palma de Mallorca/MERCADAL (ES),"MM, MP, PP",,MP,
10.13180/IB,"RIPOLL FIOL, ANTONIO",Islas Baleares/CONSELL,PP,,MP,
10.13223/PM,"DUCHISELA, S.L.",Palma de Mallorca/MAO,"CS, CP, MM, MP, PP",,MP,
10.13224/PM,"EMBUTITS PEPE LUNA, S.L.",Palma de Mallorca/CIUTADELLA DE MENORCA,PP,,MP,
10.13396/IB,"JAIME TORRANDELL, SA",Islas Baleares/COLL DE''N RABASSA (ES),"CS, CP",,,
10.13548/PM,"EMBOTITS MATAS, SL",Palma de Mallorca/MARIA DE LA SALUT,PP,,MP,
10.13685/PM,AJUNTAMENT DE CIUTADELLA,Palma de Mallorca/CIUTADELLA DE MENORCA,SH,A,,
